iter	RMSE
0	3.861569902
1	3.80732249
2	3.764787978
3	3.702349169
4	3.662509761
5	3.613678851
6	3.560227471
7	3.534888751
8	3.490963488
9	3.437866384
10	3.402751669
11	3.385561855
12	3.351274626
13	3.311889256
14	3.252128174
15	3.217832392
16	3.177295265
17	3.133791258
18	3.106844651
19	3.072582055
20	3.031569627
21	2.999922572
22	2.970314619
23	2.941331939
24	2.893248832
25	2.847230063
26	2.816499831
27	2.771219783
28	2.739858523
29	2.703024833
30	2.667802224
31	2.633611087
32	2.602278414
33	2.565080503
34	2.537583043
35	2.510495851
36	2.476764542
37	2.446440331
38	2.41694778
39	2.391246241
40	2.360782295
41	2.326078414
42	2.292821788
43	2.268530021
44	2.241424032
45	2.21426194
46	2.177062063
47	2.149098137
48	2.11925182
49	2.097437244
50	2.069821354
51	2.046964929
52	2.018670557
53	1.993718583
54	1.972403039
55	1.946869642
56	1.922839531
57	1.896154926
58	1.872614375
59	1.852560462
60	1.829570659
61	1.805582587
62	1.777927881
63	1.756764018
64	1.736822597
65	1.714515821
66	1.69452036
67	1.674871514
68	1.65698143
69	1.638575426
70	1.620601561
71	1.603435665
72	1.585965999
73	1.569325575
74	1.552922191
75	1.536178388
76	1.519616125
77	1.49986099
78	1.481694509
79	1.465772796
80	1.448577826
81	1.430357302
82	1.412415749
83	1.396862746
84	1.38226849
85	1.367881403
86	1.353920858
87	1.337912063
88	1.324374637
89	1.308986948
90	1.295363909
91	1.279609246
92	1.262021379
93	1.246964116
94	1.233941813
95	1.216332484
96	1.20272658
97	1.190686791
98	1.17576416
99	1.16400104
100	1.152480136
101	1.141115286
102	1.128198834
103	1.111510631
104	1.100184895
105	1.086467536
106	1.071548046
107	1.059101621
108	1.048750234
109	1.03843101
110	1.026309683
111	1.016405858
112	1.002433256
113	0.989351771
114	0.9748598667
115	0.9634625335
116	0.9534207736
117	0.943821668
118	0.9329617824
119	0.922150583
120	0.9125876429
121	0.9018333244
122	0.8915528399
123	0.881314466
124	0.870222846
125	0.860288523
126	0.8506090063
127	0.840590075
128	0.8318870859
129	0.8195909943
130	0.8103206745
131	0.8011904446
132	0.7922775951
133	0.7835046415
134	0.7754178059
135	0.7667815124
136	0.7583665119
137	0.7499886306
138	0.7414972841
139	0.7338919343
140	0.7258511816
141	0.7179340716
142	0.7098408563
143	0.7021548523
144	0.6943041412
145	0.6869079761
146	0.6774150902
147	0.6702353032
148	0.6622186585
149	0.6551837723
150	0.6440684465
151	0.6372373908
152	0.6307304718
153	0.6200892534
154	0.6132763555
155	0.6068388134
156	0.6002255461
157	0.5941352024
158	0.5879201161
159	0.5780024655
160	0.5700855305
161	0.5643262444
162	0.5584633649
163	0.5490927882
164	0.5435777975
165	0.5345312951
166	0.529189848
167	0.523688071
168	0.5150235091
169	0.5099094569
170	0.5029649498
171	0.4979976666
172	0.4898272297
173	0.4850164525
174	0.4799732141
175	0.4721537904
176	0.4675485698
177	0.4600005815
178	0.4555406969
179	0.4485808515
180	0.4442420126
181	0.4399728247
182	0.4332711852
183	0.4257770629
184	0.4216601039
185	0.4176092284
186	0.411291832
187	0.4073514974
188	0.4002917209
189	0.3964485935
190	0.3926672612
191	0.3858605935
192	0.382172843
193	0.3785445023
194	0.3719820205
195	0.3684437763
196	0.3620861853
197	0.3586358133
198	0.3552411627
199	0.3491123256
