iter	Passed	Remaining
0	59	11928
1	60	5942
2	60	3946
3	60	2947
4	60	2348
5	60	1948
6	60	1663
7	60	1449
8	60	1282
9	60	1149
10	60	1040
11	60	949
12	60	872
13	60	806
14	60	749
15	60	699
16	60	654
17	60	615
18	60	580
19	60	548
20	61	520
21	61	494
22	61	470
23	61	448
24	61	428
25	61	410
26	61	393
27	61	377
28	61	362
29	61	348
30	61	335
31	61	323
32	61	312
33	61	301
34	61	291
35	61	281
36	61	272
37	61	264
38	61	255
39	62	248
40	62	240
41	62	233
42	62	227
43	62	220
44	62	214
45	62	208
46	62	203
47	62	197
48	62	192
49	62	187
50	62	182
51	62	178
52	62	173
53	62	169
54	62	165
55	62	161
56	62	157
57	62	154
58	63	150
59	63	147
60	63	143
61	63	140
62	63	137
63	63	134
64	63	131
65	63	128
66	63	125
67	63	123
68	63	120
69	63	118
70	63	115
71	63	113
72	63	110
73	63	108
74	63	106
75	63	104
76	63	102
77	63	100
78	63	98
79	64	96
80	64	94
81	64	92
82	64	90
83	64	88
84	64	86
85	64	85
86	64	83
87	64	81
88	64	80
89	64	78
90	64	77
91	64	75
92	64	74
93	64	72
94	64	71
95	64	70
96	64	68
97	64	67
98	64	66
99	64	64
100	65	63
101	65	62
102	65	61
103	65	60
104	65	59
105	65	57
106	65	56
107	65	55
108	65	54
109	65	53
110	65	52
111	65	51
112	65	50
113	65	49
114	65	48
115	65	47
116	65	46
117	65	45
118	65	44
119	65	43
120	66	43
121	66	42
122	66	41
123	66	40
124	66	39
125	66	38
126	66	38
127	66	37
128	66	36
129	66	35
130	66	35
131	66	34
132	66	33
133	66	32
134	66	32
135	66	31
136	66	30
137	66	30
138	66	29
139	66	28
140	66	28
141	67	27
142	67	26
143	67	26
144	67	25
145	67	24
146	67	24
147	67	23
148	67	23
149	67	22
150	67	21
151	67	21
152	67	20
153	67	20
154	67	19
155	67	19
156	67	18
157	67	18
158	67	17
159	67	16
160	68	16
161	68	15
162	68	15
163	68	14
164	68	14
165	68	13
166	68	13
167	68	13
168	68	12
169	68	12
170	68	11
171	68	11
172	68	10
173	68	10
174	68	9
175	68	9
176	68	8
177	68	8
178	68	8
179	68	7
180	68	7
181	69	6
182	69	6
183	69	6
184	69	5
185	69	5
186	69	4
187	69	4
188	69	4
189	69	3
190	69	3
191	69	2
192	69	2
193	69	2
194	69	1
195	69	1
196	69	1
197	69	0
198	69	0
199	69	0
